last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Culberson, Charlie,518586,2019,144,93,0.259,0.238,0.021,0.437,0.396,0.041,0.306,0.282,0.024
Difo, Wilmer,594694,2019,144,103,0.252,0.243,0.009,0.313,0.313,0,0.27,0.265,0.005
Brosseau, Michael,670712,2019,142,94,0.273,0.215,0.058,0.462,0.36,0.102,0.329,0.271,0.058
Stewart, DJ,621466,2019,142,101,0.238,0.227,0.011,0.381,0.391,-0.01,0.299,0.297,0.002
Gallagher, Cam,595956,2019,142,100,0.238,0.213,0.025,0.365,0.298,0.067,0.294,0.262,0.032
Rodriguez, Sean,446481,2019,139,76,0.223,0.197,0.026,0.375,0.329,0.046,0.319,0.3,0.019
Riddle, JT,595375,2019,139,90,0.189,0.198,-0.009,0.371,0.386,-0.015,0.25,0.261,-0.011
Gennett, Scooter,571697,2019,139,94,0.226,0.201,0.025,0.323,0.292,0.031,0.241,0.222,0.019
Herrera, Odubel,546318,2019,139,94,0.222,0.227,-0.005,0.341,0.34,0.001,0.272,0.277,-0.005
Solak, Nick,669256,2019,135,87,0.293,0.258,0.035,0.491,0.433,0.058,0.375,0.343,0.032
Arteaga, Humberto,600858,2019,135,97,0.197,0.227,-0.03,0.23,0.289,-0.059,0.221,0.254,-0.033
Duvall, Adam,594807,2019,130,82,0.267,0.21,0.057,0.567,0.541,0.026,0.36,0.329,0.031
Holaday, Bryan,592407,2019,129,96,0.278,0.243,0.035,0.435,0.346,0.089,0.326,0.282,0.044
Maile, Luke,571912,2019,129,88,0.151,0.214,-0.063,0.235,0.338,-0.103,0.194,0.259,-0.065
Rogers, Jake,668670,2019,128,63,0.125,0.125,0,0.259,0.22,0.039,0.216,0.204,0.012
Lopes, Tim,621005,2019,128,83,0.27,0.229,0.041,0.36,0.33,0.03,0.318,0.29,0.028
Straw, Myles,664702,2019,128,85,0.269,0.26,0.009,0.343,0.339,0.004,0.323,0.321,0.002
